Date,throughput_1000m3d,avail_cap_1000m3d,utilization_pct
2023-10,500.1,518.5,96.5
2023-11,512.2,517.5,99.0
2023-12,519.2,521.4,99.6
2024-01,490.8,518.6,94.6
2024-02,495.8,521.0,95.2
2024-03,504.3,521.9,96.6
2024-04,471.4,506.7,93.0
2024-05,499.5,513.3,97.3
2024-06,496.5,519.8,95.5
2024-07,477.5,513.0,93.1
2024-08,479.2,504.0,95.1
2024-09,454.9,501.0,90.8
2024-10,467.3,521.0,89.7
2024-11,498.8,511.2,97.6
2024-12,501.6,521.4,96.2
2025-01,513.2,512.3,100.2
2025-02,513.2,516.4,99.4
2025-03,484.3,517.8,93.5
2025-04,474.7,509.1,93.2
2025-05,475.3,512.1,92.8
2025-06,465.4,518.9,89.7
2025-07,495.1,506.1,97.8
2025-08,493.8,508.2,97.2
2025-09,466.5,502.0,92.9
